State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.7399579285507922	0.05041036969558	5.5242582402184E-4	0.017944859299337687	0.0027865805769756117	0.0014235476591535708	0.021215752690410303	0.003627027727582257	0.1618316713230777	2.4983665306888426E-4
2	0.16775545863309632	0.8063166261204447	0.013479870499701348	0.00160663368899853	0.007831079064218677	6.359502868172307E-5	4.893127087336174E-4	0.002299903166040556	1.57521090084519E-4	0.0
3	0.0025502574857401506	0.01770902959419341	0.8489350492924651	0.06805484997430072	0.05753056791919272	0.0	0.002726178464793599	5.29966926802356E-4	0.001964100342511869	0.0
4	0.07398002885120422	0.0026747914738613566	0.0636412167362505	0.7049230111642536	0.001416107749555843	4.43330811425381E-4	0.0023882427270109645	0.004624428213908841	0.10316446817553035	0.04274437409699901
5	0.010445002413816627	0.008961393373787482	0.044631861298204185	0.0012797863783871677	0.813038780307808	0.11724152784641804	0.004029493546458912	3.7215483511963596E-4	0.0	0.0
6	0.001447773124670069	2.852151614675829E-7	0.0	8.163918912858319E-5	0.03160403419750216	0.9159997232049673	0.05086654506857043	0.0	0.0	0.0
7	0.01124978616227296	2.0816530467388306E-5	3.16933364019826E-4	2.9465920564906935E-4	5.732431946327034E-4	0.026980942697218114	0.9539972367423056	0.0020710185753919576	0.004495363528042371	0.0
8	0.0024558305811166322	4.004148063220044E-4	8.669614295889198E-5	8.012633104863366E-4	3.9144126561955404E-5	3.559177498156097E-4	0.0021505160806347804	0.9057134208452158	0.08598530052543384	0.0020114958314542144
9	0.0068645512965253026	6.852156700458975E-6	2.3854650192548875E-5	0.0010409021369947446	0.0	0.0	3.5707668638959876E-4	0.005276856276803749	0.982262988015169	0.004166918781224464
10	7.860411985338666E-5	0.0	0.0	0.0035995661745660138	0.0	0.0	0.0	0.0010522411222135572	0.03350245037271145	0.9617671382106556
